标题,价格,销量,店铺,地点,,,
【可省250元】vivo Z3X全网通中移动全新vivo手机官方旗舰店vivoz3x智能千元学生机z3低配z1 x23 z3i iqoo z3,￥998.00,165人付款,中国移动官方旗舰店,浙江 杭州,,,
到手759起【3期免息/选天猫精灵方糖】Meizu/魅族 魅族 V8手机 中移动 V8标配高配note8全网通x8魅蓝note6,￥759.00,97人付款,中国移动官方旗舰店,浙江 杭州,,,
【咨询可减40元】 Huawei/华为 畅享9 全网通官网华为官方旗舰店正品手机新品max荣耀8x/mate20 nova4 9PLUS,￥889.00,168人付款,博盛景数码专营店,广东 深圳,,,
【3期免息/送超值大礼包】Huawei/华为 P20 全网通 华为P20 官方p30 pro旗舰店 mate20 pro手机正品官网,"￥2,838.00",8人付款,中国移动手机官方旗舰店,广东 广州,,,
Philips/飞利浦 E186A 移动联通2G 老年手机大屏大字大声直板按键学生手机,￥158.00,499人付款,飞利浦官方旗舰店,上海,,,
可减120元/3期免息/Huawei/华为 畅享9e 手机官方旗舰店官网正品畅享9plus/畅享9s/nova4/荣耀9e/mate/p30pro,￥799.00,92人付款,能良数码官方旗舰店,上海,,,
【现货当天发送豪礼】honor/荣耀 荣耀20 Pro手机官方旗舰荣耀20,"￥2,699.00",73人付款,深港通信专卖,广东 深圳,,,
Apple/苹果 iPhone XR 6.1英寸国行三网苹果XR无锁全网通手机现货,"￥4,187.70",154人付款,小朵数码店,广东 深圳,,,
分期直降398【亏本冲量】honor/荣耀 荣耀8X MAX全面屏手机荣耀8x,￥999.00,246人付款,一朵花的记忆,广东 深圳,,,
OPPO R15全面屏手机智能全网通OPPOR15梦镜版R15手机OPPOR11S,"￥1,000.00",220人付款,yj830720,浙江 杭州,,,
12期免息Huawei/华为 Mate 20 全面屏珍珠屏大广角徕卡三镜头智能4G手机,"￥3,499.00",18人付款,绿森数码官方旗舰店,浙江 杭州,,,
Huawei/华为 P20 Pro全网通128g徕卡三摄全面屏6G运存手机正品64g,"￥2,109.00",56人付款,兴旺数码城1108,广东 深圳,,,
【限时可用100元天猫券】现货速发/送壳膜/12期分期 Apple/苹果 iPhone 7Plus 全网通手机苹果7plus 国行正品,"￥4,188.00",16人付款,君问数码官方旗舰店,浙江 杭州,,,
Apple/苹果 iPhone 8 Plus全网通智能苹果8P手机苹果8plus正品国行红色苹果手机,"￥4,599.00",6人付款,东利数码专营店,河南 洛阳,,,
Apple/苹果 iPhone 8 4.7苹果8手机 iphone8 Plus港版三网美版8p,"￥2,628.00",46人付款,数码科技1628_1628,广东 深圳,,,
现货分期免息Huawei/华为 Mate 10 全网通4G保时捷手机mate10 pro,"￥1,760.00",102人付款,深圳之音,广东 深圳,,,
16G低至499起+送壳膜 Xiaomi/小米 红米6a手机正品小米6A官方旗舰店红米6pro6x新品7pro老人机7a学生价全面屏,￥499.00,250人付款,能良数码官方旗舰店,上海,,,
Apple/苹果 iPhone 7 4.7英寸移动/联通/电信全网通4G版手机全新未激活苹果7智能手机国行正品全国联保,"￥3,228.00",17人付款,卓辰数码旗舰店,浙江 杭州,,,
小米有品官方多亲AI手机qin1s+功能电话移动联通4G网老人机全网通按键智能小备用机小爱同学学生价直板老年机,￥269.00,223人付款,大和数码配件专营店,广东 深圳,,,
官网免息直降500元华为HUAWEI 畅享9 PLUS全面屏正品手机畅享9s9e,￥750.42,252人付款,国货平价网,广东 深圳,,,
Xiaomi/小米 小米Max3游戏智能拍照手机6.9英寸全面屏 max2升级版,"￥1,355.31",124人付款,ryang275492354,广东 深圳,,,
【6期免息送好礼】OPPO Reno opporeno手机全新机0pp0r17pro r19 r15x r11 a9 k1 findx未来10倍变焦版0ppo,"￥2,999.00",33人付款,oppo初然专卖店,浙江 杭州,,,
咨询可减200元/6期免息送豪礼/Huawei/华为 nova 4e手机官方旗舰店nova4官网P30正品mate20pro华为p20降价,"￥1,799.00",28人付款,华为莫问专卖店,浙江 杭州,,,
分期 Apple/苹果 iPhone XS Max iphonexs 9 苹果xs xr 手机 新,"￥6,758.00",230人付款,最低最诚信,江苏 南京,,,
12期免息 vivo NEX双屏版 nex高配双面版 vivonex双屏版手机 nex2 x23 x21 vivo官方旗舰店官,"￥4,998.00",11人付款,vivo欧曙专卖店,上海,,,
已降1450当天发 Huawei/华为 Mate 20全面屏官方手机mate20pro30,"￥2,468.00",73人付款,绝对诚信qq464547963,广东 深圳,,,
【新品分期】OPPO A9手机 oppoa9新款全新机全面屏K1长续航大内存学生全网通4G手机a5 R15 a7 r17pro a7x正品,"￥1,399.00",49人付款,亿拓源数码配件专营店,广东 东莞,,,
送好礼 Huawei/华为 nova 青春版 全网通4G美颜3e双卡手机,￥988.00,101人付款,豪置数码专营店,上海,,,
红米k20 pro手机官方新品现货Xiaomi/小米 Redmi K20 骁龙855金钢,"￥2,199.00",49人付款,年年盛商贸,河南 郑州,,,
Apple/苹果 iPhone XR 苹果xr6.1寸 iPhonexr xs max 双卡4G手机,"￥3,400.00",226人付款,changcheng000,广东 深圳,,,
华为微不凡全智能腾领袖微商专用成客营销手机honor/荣耀 荣耀9i,"￥4,668.00",108人付款,凯利通88,广东 深圳,,,
现货 Apple/苹果 iPhone XR 苹果XR iphonexr xs max新双卡手机,"￥4,898.00",161人付款,最低最诚信,江苏 南京,,,
OPPO R11手机r9s花呗分期 OPPO R11s手机R11plus手机r9 拍照智能,￥700.00,388人付款,gain200888,上海,,,
【1299起 6期免息送原装配件】华为honor/荣耀 荣耀8X官网全新正品手机新款上市官方旗舰店畅玩8x,"￥1,299.00",73人付款,新松联手机专营店,上海,,,
Apple/苹果 iPhone 8全网通无锁未激活手机美版有锁日版4G苹果8代,"￥2,243.34",75人付款,达诚数码商城,广东 深圳,,,
当天发省900/6期免息Huawei/华为 Mate 20 华为Mate20手机官网官方旗舰店nova4正品p30pro新款Mate20pro降价,"￥3,499.00",14人付款,恒波官方旗舰店,广东 深圳,,,
vivo X21手机x21i全网通vivox21 vivox23水滴屏 全新vivo手机x21s,"￥1,598.00",127人付款,笨柯磊,广东 深圳,,,
【咨询减333元送手环等】Huawei/华为 畅享9S官网官方旗舰店正品手机畅想9s新品9lus 9ep30pro/nova4/Mate20,"￥1,199.00",120人付款,同步飞扬数码专营店,广东 深圳,,,
A8s降价 Samsung/三星 Galaxy A8s SM-G8870全网4G手机A9s-A9200,"￥1,809.72",160人付款,苏苏通讯,广东 深圳,,,
Apple/苹果 iPhone 8 Plus国行三网苹果8代8P苹果x全网通4G手机8x,"￥2,370.00",109人付款,绿叶凌洁子,广东 深圳,,,
新年！鸿运当头！选大屏】Xiaomi/小米 小米max2全网通4G大屏幕大屏手机6.44英寸小米max3官方全新正品手机3,"￥1,099.00",78人付款,气樽数码专营店,广东 广州,,,
Huawei/华为 P20全面屏徕卡三摄全网通6g运行正品手机降价P20 pro,"￥2,268.00",115人付款,prl44210390abcd,广东 深圳,,,
华为官方正品honor/荣耀 荣耀V20全屏8G+128G/256G联名红色版手机,"￥2,399.00",34人付款,sunhonpe,广东 深圳,,,
【搭配购】 Samsung/三星 Galaxy S10e SM-G9700 骁龙855 三摄像头 官方正品 4G智能手机,"￥5,198.00",6人付款,三星官方旗舰店,北京,,,
正品军工三防智能手机路虎全网通4G超长待机GOFLY/捷语N9防水防摔,￥751.06,271人付款,索克丰科技,广东 深圳,,,
立减100 vivo Z1青春版 手机全新机 vivoz1 z1i vivoz2 z3i vivo手机z1青春版vivoy85 vivo新y97手机 限量版,￥949.00,292人付款,vivo天诚专卖店,广东 东莞,,,
天空之镜现货发/已降300元/ 华为 HUAWEI HUAWEI P30 Pro全面屏4G智能手机官方旗舰网正品nova3全新p10p2,"￥5,758.00",26人付款,玩风数码专营店,山东 济南,,,
现货送手环【12期免息】Nokia/诺基亚 X71全网通全面屏蔡司认证广角三摄x71官方旗舰店正品智能手机x5/x6/x71,"￥2,199.00",24人付款,博海宇通数码专营店,北京,,,
A8s降价 Samsung/三星 Galaxy A8s SM-G8870全网4G手机A9s-A9200,"￥1,809.72",160人付款,苏苏通讯,广东 深圳,,,
【下单立减200】nubia/努比亚 X 双屏全网通大内存官方旗舰手机,"￥2,199.00",14人付款,苏宁易购官方旗舰店,江苏 南京,,,
【6.1日限时低至2499】OPPO R17 Pro 全网通全面屏4G手机官方全新正品旗舰店oppor17pro,"￥2,699.00",75人付款,苏宁易购官方旗舰店,江苏 南京,,,
【6.1日抢200元券！】选电源Xiaomi/小米Play手机官方旗舰店新正品plαy9青春paly红米note7pro6X官网8se米5S,￥899.00,164人付款,三际数码官方旗舰店,山东 济南,,,
3期免息送壳膜套装/Samsung/三星 Galaxy S8+ SM-G9550 6+128GB S8plus全网通官方旗舰店正品手机,"￥3,599.00",49人付款,三际数码官方旗舰店,山东 济南,,,
【3期0息/速发/送壕礼】Huawei/华为 畅享8e中移动畅想手机正品官方旗舰店畅享8 plus学生价全新款千元9 max,￥778.00,123人付款,中国移动官方旗舰店,浙江 杭州,,,
【领券减+顺丰包邮】华为 honor/荣耀 畅玩7中移动官方旗舰店正品智能手机老年人大字体大音量华为手机 8X,￥599.00,153人付款,中国移动官方旗舰店,浙江 杭州,,,
魅族16 直降1320元 Meizu/魅族 16th Plus 智能手机魅族16X8 17th,"￥1,998.00",94人付款,白开水的点燃方式,河南 郑州,,,
Apple/lPhone 6splus 苹.果6sp 苹.果6s i.phone手机全网通正品,￥900.00,98人付款,曼德佩数码通讯店,上海,,,
YOTA3俄罗斯墨水屏 YotaPhone3双面屏国礼手机优它3阅读手机,"￥1,460.00",84人付款,xhhongse,广东 深圳,,,
【mate20x降1700】Huawei/华为 Mate 20 X正品手机降价Mate20 Pro,"￥2,388.00",101人付款,云腾数码商城,河南 郑州,,,
vivo Z3X全新正品手机 官网 vivoz3x vivoz3限量版 vivos 新品vivo z3i z4 z1 z1i x7 x9 x20 x21 vivoz手机,￥998.00,142人付款,首佳誉数码专营店,广东 东莞,,,
OBXIN/欧博信OX2全网通4G智能全面屏6.5寸水滴面部解锁一体手机x,￥299.00,1191人付款,华米企业店,广东 深圳,,,
Philips/飞利浦 E218L 移动联通2G 双屏翻盖 超长待机 大字大声大屏 男女老人机学生备用功能机按键老年手机,￥288.00,265人付款,飞利浦官方旗舰店,上海,,,
Apple/苹果 iPhone 8 Plus全网通4G智能手机6.s4.7寸,"￥1,220.00",163人付款,苹果数码城305,浙江 杭州,,,
直降300+领券 vivoiQOO手机全新正品iqoo855处理器智能官方旗舰店iqoo骑士黑手机官网艾酷vivoiqoo手机iqoo,"￥2,798.00",10人付款,vivo盛大信和专卖店,北京,,,
荣耀20pro【现货速发】华为honor/荣耀 荣耀20PRO手机荣耀20 v20i,"￥2,699.00",261人付款,白开水的点燃方式,河南 郑州,,,
顺丰6+128G正品【送分期免息+钢化膜+耳机+原装壳】Lenovo/联想 K5 pro 6.0屏全网通4G指纹快充手机Z5SS5Z6p,￥829.00,34人付款,安卓快意数码专营店,北京,,,
OPPO R17水滴屏手机oppor17原封正品r15全网通OPPO R15x屏幕指纹,"￥1,750.00",109人付款,一宅一花绿植学院,北京,,,
【P30直降320 】HUAWEI HUAWEI P30 PRO曲面屏全网通全新正品手机,"￥3,098.00",44人付款,云腾数码商城,河南 郑州,,,
现货【选充电宝/碎屏险】Huawei/华为 畅享8手机畅想8plus 官方旗舰机店正品 畅想8 荣耀9 9plus官网,￥595.00,106人付款,博盛景数码专营店,广东 深圳,,,
Apple/苹果 iPhone XS Max 苹果XS Xr手机 国行港版 有锁无锁美版,"￥4,480.00",527人付款,沅依锁,广东 深圳,,,
当天发直降300华为HUAWEI HUAWEI P30 Pro曲面屏旗舰手机P30现货,"￥3,599.00",60人付款,yuzunyi0423,北京,,,
质保2年谷歌/Google Pixel 3 Pixel 3XL 代Pixel 2 XL 手机未激活,"￥2,249.00",73人付款,诚有信未则来,广东 广州,,,
华为nova4官网直降HUAWEI Nova 4手机全面屏nova4e官方降价正品,"￥1,398.00",110人付款,深圳一航,广东 深圳,,,
魅族X8【直降430/送699元购机礼】Meizu/魅族 X8全面屏骁龙710手机降价官方旗舰店官网note8魅族16x魅族16s,"￥1,148.00",58人付款,魅族晓亚专卖店,河南 郑州,,,
Huawei/华为 Mate 20 X 全面屏珍珠屏大广角徕卡三镜头智能手机 全网通手机mate20x#,"￥4,499.00",7人付款,中国电信官方旗舰店,北京,,,
分期免息Huawei/华为 mate 10 pro保时捷智能手机华为官方旗舰店官网正品P30 mate20 pro nova4,"￥2,198.00",14人付款,久汇数码专营店,广东 深圳,,,
【当天发+碎屏保】华为honor/荣耀 荣耀10青春版手机 paly 8x 20i,"￥1,158.00",151人付款,龙通店,广东 深圳,,,
顺丰速发Meizu/魅族 魅族 15 PLUS全网通4G智能手机15Plus 官方旗舰店官网正品 16THPLUS thplus,"￥1,798.00",22人付款,事三义数码专营店,广东 深圳,,,
【限时直降200元】OPPO K1 oppok1手机全新机正品oppo新品k1oppo限量版oppor17R15梦境版a5 a3 a7x a1,"￥1,199.00",109人付款,oppo酷炫专卖店,浙江 杭州,,,
12期免息 顺丰速发Xiaomi/小米 小米8 青春版全网通 手机官网官方旗舰店全新正品红米小米8 手机,"￥1,899.00",12人付款,中国移动手机官方旗舰店,北京,,,
【直降300/送好礼】Nokia/诺基亚 X71全面屏智能手机官方旗舰店x6/9pureview新品全网通正品,"￥2,198.00",26人付款,京联通达数码旗舰店,北京,,,
【低至5048起】12期分期/送壳膜+无线充/Apple/苹果 iPhone XR 4G全网通手机分期 iphone xr 7 7p 8 x xs max,"￥5,058.00",9人付款,环球机库官方旗舰店,江苏 扬州,,,
到手价2199起/领券最高减300/honor/荣耀 荣耀NOTE10全网通大屏正品手机note10官方旗舰店新V10降价V20,"￥2,199.00",11人付款,君问数码官方旗舰店,浙江 杭州,,,
现货【12期分期】华为honor/荣耀 荣耀8X MAX手机官方旗舰店v20正品大屏幕10青春/magic2/8x,"￥1,399.00",21人付款,京合旗舰店,安徽 合肥,,,
现货Samsung/三星 GALAXY S9+ s9plus港版港行全网通4G手机,"￥1,598.00",345人付款,tb38415_55,广东 深圳,,,
【8G运行128G】vivo X23幻彩版vivox23手机vivox21i正品S1步步高,"￥1,398.00",137人付款,wallter_yuan,山东 济南,,,
华为honor/荣耀 荣耀9青春版 全网通4G 全面屏5.65英寸 人脸识别 麒麟659 娱乐拍照手机,￥928.00,48人付款,华飞数码专营店,上海,,,
【光头手机】谷歌/Google Pixel 3XL Pixel 3代Pixel 3XL手机现货,"￥4,334.22",112人付款,光头先僧,广东 深圳,,,
咨询更优惠【6期免息送碎屏险】 Nokia/诺基亚 X71 全网通4G手机 全面屏游戏手机新品x71 plus x6x5 9p手机,"￥2,198.00",22人付款,金万吉数码专营店,广东 深圳,,,
【新款上市】OPPO A9x oppoa9x手机正品官方opop新品a9x a7x a5 k1 r11 r17 r15未来x a3 r9s oppo手机0pp0a9,"￥1,999.00",19人付款,智宏新创数码专营店,北京,,,
Samsung/三星 Galaxy A6S SM-G6200 大视野全面屏 6GB运存 双卡双待 4G智能 全网通手机 送好礼,"￥1,199.00",48人付款,samsung佳酷专卖店,上海,,,
【3期免息 现货速发】 Xiaomi/小米Redmi7全网通手机红米7官方旗舰店 官网正品红米note7Pro老人学生智能6pro,￥999.00,63人付款,中国移动手机官方旗舰店,广东 广州,,,
【限时立省400】OPPO A7x 水滴屏手机全新机正品 oppo a7x 手机oppoa3 oppor15 梦镜版手机 oppo限量版oppoa5,"￥1,599.00",27人付款,oppo酷炫专卖店,浙江 杭州,,,
【现货当天发】三星 Galaxy S10 SM-G9730 骁龙855 全新国行 官方正品 IP68防水 四摄像头 4G智能旗舰手机,"￥5,999.00",12人付款,samsung佳酷专卖店,上海,,,
Apple/苹果 iPhone 7 Plus手机5.5英寸未激活原装7p国行美版花呗,"￥2,650.00",96人付款,给力小娘子,上海,,,
小辣椒 G108正品老人机军工三防老年手机超长待机电信版大屏大字大声定位学生机直板迷你备用小手机按键电话,￥56.00,3674人付款,佳宁数码专营店,广东 深圳,,,
正品Xiaomi/小米 小米8屏幕指纹探索版新手机全面屏八黑鲨2代3,"￥1,868.00",603人付款,heatlinda,广东 深圳,,,
分期免息 华为honor/荣耀 荣耀10 GT加速全网通全面屏4G正品手机,"￥1,698.00",150人付款,登录成功vip,上海,,,
OPPO R11手机r9s花呗分期 OPPO R11s手机R11plus手机r9 拍照智能,￥700.00,388人付款,gain200888,上海,,,
GOFLY/捷语防水路虎军工三防智能手机全网通4G老年人大电池大声音,￥751.06,266人付款,潮尚数码00,广东 深圳,,,
分期送自拍杆+电源 Huawei/华为 Mate 9 Pro 6GB+128GB徕卡手机全网通4G NFC MATE10 PRO P20 PRO,"￥2,699.00",17人付款,旭翼数码专营店,上海,,,
省900元/当天发/6期免息Huawei/华为 Mate 20 Pro 华为 Mate20pro手机官网官方旗舰店正品降价p30pro新款P20,"￥4,899.00",14人付款,恒波官方旗舰店,广东 深圳,,,
【下单立减200！6期免息】Huawei/华为 Mate 20 全面屏珍珠屏超大广角徕卡三镜头旗舰芯片正品智能手机,"￥3,499.00",218人付款,苏宁易购官方旗舰店,江苏 南京,,,
【抢先加购】Xiaomi/小米 红米6A智能AI老人学生拍照手机5A升级8周年官方旗舰店正品全网通红米6a,￥549.00,2457人付款,苏宁易购官方旗舰店,江苏 南京,,,
到手1548起魅族16x【12期分期送17礼选原装耳机】Meizu/魅族 16 x 手机官方旗舰店正品x8官网5汝窑白16xs魅蓝,"￥1,548.00",116人付款,三际数码官方旗舰店,山东 济南,,,
黑鲨2新品 领券可省300元+选原装手柄】黑鲨游戏手机2代小米官方旗舰电竞手机小米9黑鲨二3代Helo骁龙855红魔,"￥2,899.00",70人付款,三际数码官方旗舰店,山东 济南,,,
